Name of Covered Entity,Count
"Frederiksted Health Care, Inc.",1
Northern Iowa Therapy PC,1
"JDA eHealth Systems, Inc. d/b/a Parathon",1
Hospital Sisters Health System,1
LCS Financial Services,1
"University of Michigan, on behalf of certain HIPAA-covered functions of the University that operate as a HIPAA hybrid entity",1
La Red Health Center,1
McLaren Health Care,1
City of Philadelphia ,1
"Hospital & Medical Foundation of Paris, Inc",1
"Piedmont Healthcare, Inc.",1
Napa Integrated Medicine PC,1
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",1
BHI Energy Health and Welfare Benefits Plan,1
Helping the Aging Needy and Disabled Inc,1
Peerstar LLC,1
Premier Health Partners and wholly owned covered entities listed in description section below,1
Fellowship Village,1
Carle Health ,1
Region 4 South Mental Health Consortium,1
"Arietis Health, LLC",1
Absolute Dental Services,1
"Aspen Dental Management, Inc.",1
"Mount Desert Island Hospital, Inc.",1
Wake Family Eye Care,1
Bi-Bett Corporation,1
Paramedic Billing Services,1
Harris County Hospital District d/b/a Harris Health System ,1
"Batesville Tool & Die, Inc.",1
Pennsylvania Department of Human Services,1
"New England Life Care, Inc.",1
"Mindful Innovations, PLLC",1
"Associated Pathologists, LLC dba PathGroup Health Plan",1
ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED,1
"IVF Michigan, P.C.",1
Beacon Specialized Living,1
"Life Management Center of Northwest Florida, Inc. ",1
East Houston Medicine and Pediatrics Clinic,1
Kansas Joint & Spine Specialists ,1
Konen & Associates dba Unified Pain Management ,1
Aria Care Partners ,1
Catholic Charities of the Archdiocese of Newark,1
Precision Anesthesia Billing LLC,1
"Miracle-Ear Flagship, LLC",1
"Parsley Health, Inc. ",1
Public Health Management Corporation,1
ARx Patient Solutions,1
"Family Vision of Anderson, P.A.",1
"Hillsborough County, Florida (County Government)",1
"TAG Urgent Care Support Services, LLC",1
Harris Eye Care,1
"Privia Medical Group of Georgia, LLC",1
"SouthCoast Medical Group, LLC",1
Morris Hospital & Healthcare Centers,1
"Kennedy University Hospital, Inc. t/a Jefferson Health ",1
"Monocacy Valley Dental Brian K. Motz, DDS, PC",1
"Nice Pak Products Inc., Health and Welfare Benefits Plan",1
TRACT Radiology,1
VNS Health Plans,1
Coastal Orthopedics & Sports Medicine of Southwest Florida,1
Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees,1
Cranberry Township Emergency Medical Service,1
CareSource,1
"Gary Motykie, M.D., a Medical Corporation ",1
Radius Global Solutions,1
"Maximus, Inc.",1
Unum Group SACE,1
Self-insured group health plans sponsored by the City of Dallas,1
Plumbers Local 8 Health & Welfare Fund,1
HCA Healthcare,1
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",1
The Chattanooga Heart Institute,1
"Florida Health Sciences Center, Inc. dba Tampa General Hospital ",1
"Mary H. Makhlouf, DMD, MS, PA",1
"Florida Pediatric Associates, LLC ",1
Pembina County Memorial Hospital,1
oficina medica,1
Rim Country Health and Rehabilitation ,1
"ERLC LLC, d/b/a Elitecare Emergency Hospital",1
Michigan Masonic Home,1
JTaylor & Associates LLC ,1
Maryville Academy,1
Young Consulting LLC,1
Local 1964 ILA Health & Insurance Fund,1
"Richland County, WI",1
Millinocket Regional Hospital,1
"Nationwide Recovery Services, Inc.",1
Welcome Health,1
Jefferson PA Heart and Vascular,1
Seneca Nation Health System,1
Guam Seventh-Day Adventist Clinic ,1
County of Los Angeles Department of Mental Health,1
Project Hospitality,1
Premier Health Family Care – North and Premier Health Family Care of Vandalia,1
"United Way of Connecticut, Inc.",1
"Service Access & Management, Inc.",1
Washoe County School District,1
"EngageMED, Inc ",1
Baptist Health Medical Center Drew County,1
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",1
"Jacobsen Construction Co., Inc. Health Plan",1
"TheraCom, L.L.C.",1
"Long Island Plastic Surgical Group, P.C.",1
Schneider Regional Medical Center,1
"Dohman, Akerlund & Eddy",1
University of Minnesota Board of Regents,1
"Ciox Health LLC, d/b/a Datavant Group",1
"ATSG, Inc",1
"General Physician, P.C.",1
Bayhealth Medical Center,1
"Easter Seals DC | MD | VA, Inc.",1
Omni Family Health,1
"Dr. Daniel J. Leeman, M.D.",1
"Seven Counties Services, Inc.",1
Muskogee City County Enhanced 911 Trust Authority,1
Judge Rotenberg Educational Center,1
Walgreen Co.,1
Connally Memorial Medical Center ,1
Hafetz and Associates ,1
 CF Medical,1
"Texas Spine Consultants, PLLC ",1
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center",1
Prentke Romich Company dba PRC-Saltillo,1
Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth,1
"Asheville Arthritis and Osteoporosis Center, P.A.",1
Catholic Charities CYO of The Archdiocese of San Francisco,1
Minnesota Department of Human Services,1
"Illinois Bone & Joint Institute, LLC",1
Hamilton-Madison House,1
"HealthEquity, Inc.",1
"Gramercy Surgery Center, Inc.",1
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists",1
"The Facial Pain Center, PLLC dba The Facial Pain Center",1
"PDG, P.A. dba Park Dental",1
Pemiscot Memorial Health System,1
PG Dental d/b/a Aire Dental Arts,1
Harborview Oral & Facial Surgery Center,1
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates",1
" Pocahontas Medical Clinic, PA",1
"Calibrated Healthcare, LLC",1
Mount Carmel Behavioral Health ,1
Alabama Cardiovascular Group,1
Wayne Memorial Hospital,1
"PRM Management Company, Inc.",1
Fraser Child and Family Center ,1
Roseland Community Hospital Association,1
Frilot L.L.C.,1
Providence Pediatrics Manito ,1
Deer Oaks Behavioral Health ,1
"Special Health Resources of Texas, Inc.",1
Delta County Memorial Hospital District (Delta Health),1
Monte Nido,1
"Turning Point of Central California, Inc.",1
siParadigm LLC,1
Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry,1
Goodwin Living Incorporated ,1
"CBIZ Benefits & Insurance Services, Inc.",1
Blue Cross and Blue Shield of North Carolina,1
Roper St. Francis Healthcare,1
Okanogan Behavioral HealthCare,1
Florida Department of Health ,1
Pomona Community Health Center dba ParkTree Community Health Center,1
"VeriSource Services, Inc.",1
"Acadian Ambulance Service, Inc. ",1
"Contents Trader, Inc.",1
"Connecticut GI, PLLC",1
Mid-Columbia Center for Living,1
"HAH Group Holding Company, LLC d/b/a “Help At Home""",1
"Kerber, Eck & Braeckel LLP",1
Vasinda's Around the Clock Care Inc. DBA ATC Home Care ,1
Behavioral Health Alliance of Rural Pennsylvania ,1
"Specialty Networks, Inc. ",1
Carespring Health Care Management LLC,1
Fairfield Memorial Hospital Association,1
United Urology Group,1
University of Connecticut Health Center Finance Corporation (“UConn Health”),1
Smile Design Management LLC,1
"DMEscripts, LLC",1
"Baytown Medical Center, L.P.",1
"Radiologic Medical Services, P.C.",1
"athenahealth, Inc.",1
VPS of MI PLLC,1
ASPEN HEALTHCARE SERVICES INC,1
"TriHealth H, LLC d/b/a TriHealth Physician Partners (“TriHealth”)",1
Western Montana Mental Health Center,1
Physicians' Primary Care of Southwest Florida,1
"Hopscotch Health Management, LLC",1
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,1
"Liberty Endo, LLC",1
Rocky Mountain Gastroenterology Associates PLLC ,1
Familylinks Inc.,1
"Equinox, Inc. ",1
Humboldt Independent Practice Association (Humboldt IPA),1
"United Seating and Mobility, LLC dba Numotion",1
Mid-Minnesota Management Services d/b/a Central Resources,1
Massachusetts Department of Developmental Services,1
Missouri Department of Mental Health,1
"South West Family Medicine Associates, PA ",1
Great Plains Regional Medical Center,1
MDLand International Corporation ,1
"Orthopedics Rhode Island, Inc. ",1
Universal Health Corporation,1
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Women’s Health (collectively, “the Practices”)",1
"ESHA, Inc.",1
"Wellfleet Group, LLC",1
York County ,1
"Jefferson Dental Center, Inc.",1
Colonial Behavioral Health,1
Pavilion of Bridgeview,1
"Ardon Health, LLC",1
"Vann Virginia Center for Orthopaedics, PC dba Atlantic Orthopaedic Specialists",1
"East Paris Internal Medicine Associates, PC",1
Lubbock County Hospital District,1
"Green Castle Recovery Center DBA, Sanford Behavioral Health",1
Pinnacle Claims Management,1
"East Central Missouri Behavioral Health Services, Inc.",1
Laboratory Services Cooperative ,1
"HealthFund Solutions, LLC",1
"Enso Counseling Group, PLLC",1
AuthoraCare Collective,1
Athens County Bd of Dev. Disabilities ,1
"The Arbors Operator, LLC",1
Terrace of Hialeah,1
"Dolton Nursing & Rehab, LLC",1
"Berkshire Nursing & Rehab Center, LLC",1
"Aperion Care Marseilles, LLC",1
Village Pharmacy Group,1
Option Care Health,1
Oklahoma Spine Hospital,1
Planned Parenthood of Montana,1
Thompson Coburn LLP,1
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.",1
Mystic Valley Elder Services - Business Associate,1
Arkansas Blue Cross and Blue Shield,1
Smiles in the Pines,1
Clay Platte Family Medicine,1
"Advanced Recovery Equipment & Supplies, LLC",1
"Survival Flight, Inc.",1
Detroit Wayne Integrated Health Network,1
RRCA Accounts Management Inc.,1
"Summit Pathology and Summit Pathology Laboratories, Inc.",1
Chicago Cardiology Institute,1
Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ,1
Embody Performance & Recovery,1
Sarah Bush Lincoln Fayette County Hospital,1
Tri County Medical Supply And Respiratory Services Inc.,1
OnePoint Patient Care,1
Center for Urban Community Services,1
"Ad Valorem Records, Inc. ",1
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)",1
MiCare Health Center ,1
"Gryphon Healthcare, LLC",1
Tower Clock Eye Center,1
"Visionworks of America, Inc. ",1
"Northeast Spine and Sports Medicine, LLC",1
Gandara Mental Health Center ,1
Stanislaus County Behavioral Health and Recovery Services,1
"GPS Sango Family Dentistry, PLLC d/b/a Sango Family Dentistry",1
"Mohawk Valley Cardiology, P.C.",1
Mid-Ohio Psychological Services Inc.,1
Brunswick Hospital Center,1
"Northeast Professional Home Care, Inc.",1
"Brain & Eye Connection Vision Clinic, PC",1
Kaiser Foundation Hospitals,1
"Potomac Medical Aesthetics, LLC",1
Rockford Gastroenterology Associates ,1
Family Medical Center,1
Boatright Inc.,1
BrightStar Care,1
"The Physical Medicine & Rehabilitation Center, P.A.",1
"Mystic Valley Elder Services, CE",1
North Texas Medical Specialists ,1
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility",1
Native Village of Eyak Ilanka Community Health Center,1
"Hawaii Radiologic Associates, Ltd. ",1
St. Anthony Regional Hospital,1
Quest Diagnostics Incorporated,1
"Southwest Colorado Mental Health Center, Inc. d/b/a Axis Health System",1
Riverview Health,1
"Advantage Orthopedic & Sports Medicine, LLP",1
United of Omaha Life Insurance Company,1
University of Alabama at Birmingham School of Nursing,1
"Cumberland Heights Foundation, Inc. ",1
Justice Resource Institute,1
Empath-Stratum Inc. doing business as  Empath Health,1
Therapeutic Health Services ,1
County of Los Angeles Departments of Health Services and Public Health,1
Kootenai Health,1
Cape Fear Aesthetics,1
Blackstone Valley Community Health Care,1
The Prudential Insurance Company of America,1
Bluebonnet Trails Community Services,1
"South Texas Oncology and Hematology, PLLC",1
"Bridgeway Center, Inc.",1
OrthoConnecticut PLLC,1
Montgomery County Board of Developmental Disabilities Services,1
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",1
Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine,1
"Kaiser Foundation Health Plan, Inc.",1
Rebound Orthopedics & Neurosurgery,1
American Healthcare Systems LLC dba Randolph Health ,1
"Spurwink Services, Inc.",1
"Knowles Smith & Associates, d/b/a Village Family Dental ",1
Group Health Cooperative of South Central Wisconsin,1
"Island Ambulatory Surgery Center, LLC ",1
Aspire Health Alliance,1
"Forefront Dermatology, S.C. d/b/a Premier Dermatology",1
"South Western Communications, Inc.",1
Kenneth Young Center,1
Badalamenti-Ferlito Orthodontics,1
"Superior Air-Ground Ambulance Service, Inc. ",1
Children's Health Care,1
Precision Medical Products Inc.,1
Texas Panhandle Centers,1
"WebTPA Employer Services, LLC (“WebTPA”)",1
1st Choice Home Care,1
Winter Haven Hospital,1
Watson Clinic,1
Allina Health System,1
Aetna ACE,1
"LivaNova USA, Inc.",1
"MedStar Health, Inc.",1
Grayson & Associates,1
Marpai Health,1
"United Seating and Mobility, L.L.C., d/b/a Numotion",1
UnitedHealthcare Insurance Company,1
Merchants Benefit Administration,1
"Allergy Medical Group of the North Area, Inc.",1
AMERICAN RENAL MANAGEMENT,1
Signature Healthcare Services LLC,1
"Guardant Health, Inc.",1
Sleep Management Institute,1
"Gaia Software, LLC",1
"BlueCross BlueShield of Tennessee, Inc. ",1
Northern Colorado Long Term Acute Hospital,1
Trustpoint Rehabilitation Hospital of Lubbock,1
Denver Regional Rehabilitation Hospital,1
Summa Rehabilitation Hospital,1
Bloomington Regional Rehabilitation Hospital,1
Rehabilitation Hospital of the Northwest,1
Rehabilitation Hospital of Southern New Mexico,1
Bakersfield Rehabilitation Hospital,1
Rehabilitation Hospital of Southern California,1
Rehabilitation Hospital of Northwest Ohio,1
Northern Colorado Rehabilitation Hospital,1
New Braunfels Regional Rehabilitation Hospital,1
"Jackson Medical Center, LLC",1
Mountain Valley Regional Rehabilitation Hospital,1
Advanced Care Hospital of Southern New Mexico,1
Midlands Regional Rehabilitation Hospital,1
Lafayette Regional Rehabilitation Hospital,1
Greenwood Regional Rehabilitation Hospital,1
Corpus Christi Rehabilitation Hospital,1
Highmark,1
"Strive Holdco, LLC",1
Risas Dental & Braces,1
Washington County Department of Human Services,1
Utah Valley Rehabilitation Hospital,1
Weslaco Regional Rehabilitation Hospital,1
Spartanburg Rehabilitation Institute,1
Elkhorn Valley Rehabilitation Hospital,1
ZSFG Hospital and Trauma Center,1
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee",1
UNC Hospitals,1
Advanced Care Hospital of Montana,1
"Continuum Health Alliance, LLC",1
Rutgers Robert Wood Johnson Medical School,1
University of Tennessee Health Science Center,1
"Otolaryngology Associates, LLC",1
"Northern Virginia Oral, Maxillofacial & Implant Surgery ",1
PRATT MRI LLC,1
Delta Health System,1
South Texas Rehabilitation Hospital,1
Rehabilitation Hospital of Northern Indiana,1
Rehabilitation Hospital of Northern Arizona ,1
Mesquite Rehabilitation Institute ,1
Northern Utah Rehabilitation Hospital,1
Northern Idaho Advanced Care Hospital,1
County of Los Angeles Department of Health Services - Olive View-UCLA Medical Center,1
Mesquite Specialty Hospital ,1
Laredo Specialty Hospital,1
Laredo Rehabilitation Hospital,1
"Hypertension-Nephrology Associates, P.C. ",1
Tobii Dynavox,1
"Pope & Conner Consulting, Inc.",1
"Georgia Kidney Associates, Inc.",1
Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund,1
Ascension Health,1
Patented Acquisition Corporation,1
DaVita Inc.,1
"Maryville, Inc.",1
"Atlanta Perinatal Consultants, LLP",1
"Marana Health Center, Inc.",1
Core Dental Health,1
AmeriHealth Caritas Delaware,1
"Human Technology Inc., and its affiliates ",1
Midwest Covenant Home,1
"The Lash Group, LLC",1
Ann & Robert H. Lurie Children's Hospital of Chicago,1
Mayfield Dental Arts LLC,1
