Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Year
Rocky Mountain Gastroenterology Associates PLLC ,CO,Healthcare Provider,366491,2024-11-13,Hacking/IT Incident,Network Server,No,,2024
"Radiologic Medical Services, P.C.",IA,Healthcare Provider,56902,2024-11-12,Hacking/IT Incident,Email,No,,2024
Familylinks Inc.,PA,Healthcare Provider,3775,2024-11-12,Hacking/IT Incident,Email,No,,2024
Humboldt Independent Practice Association (Humboldt IPA),CA,Healthcare Provider,500,2024-11-11,Hacking/IT Incident,Email,No,,2024
"United Seating and Mobility, LLC dba Numotion",TN,Healthcare Provider,2319,2024-11-11,Hacking/IT Incident,Email,No,,2024
Mid-Minnesota Management Services d/b/a Central Resources,IL,Business Associate,1232,2024-11-08,Unauthorized Access/Disclosure,Other,Yes,,2024
Massachusetts Department of Developmental Services,MA,Healthcare Provider,3800,2024-11-08,Hacking/IT Incident,Email,No,,2024
Missouri Department of Mental Health,MO,Healthcare Provider,537,2024-11-08,Unauthorized Access/Disclosure,Email,No,,2024
"South West Family Medicine Associates, PA ",TX,Healthcare Provider,36959,2024-11-07,Hacking/IT Incident,Network Server,No,,2024
Great Plains Regional Medical Center,OK,Healthcare Provider,133149,2024-11-07,Hacking/IT Incident,Network Server,No,,2024
MDLand International Corporation ,NY,Business Associate,63052,2024-11-07,Hacking/IT Incident,Electronic Medical Record,Yes,,2024
"Orthopedics Rhode Island, Inc. ",CT,Healthcare Provider,500,2024-11-06,Hacking/IT Incident,Network Server,No,,2024
Universal Health Corporation,VA,Healthcare Provider,583,2024-11-06,Hacking/IT Incident,Email,No,,2024
Oklahoma Spine Hospital,OK,Healthcare Provider,38945,2024-11-05,Unauthorized Access/Disclosure,Email,No,,2024
Planned Parenthood of Montana,MT,Healthcare Provider,18003,2024-11-05,Hacking/IT Incident,Network Server,No,,2024
Thompson Coburn LLP,MO,Business Associate,305088,2024-11-04,Hacking/IT Incident,Network Server,Yes,,2024
Embody Performance & Recovery,MO,Healthcare Provider,1100,2024-11-04,Unauthorized Access/Disclosure,Email,No,,2024
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,4973,2024-11-04,Unauthorized Access/Disclosure,Other,No,,2024
Mid-Ohio Psychological Services Inc.,OH,Healthcare Provider,40345,2024-11-01,Unauthorized Access/Disclosure,Network Server,No,,2024
Brunswick Hospital Center,NY,Healthcare Provider,500,2024-11-01,Hacking/IT Incident,Network Server,No,,2024
"Northeast Professional Home Care, Inc.",OH,Healthcare Provider,648,2024-11-01,Hacking/IT Incident,Email,No,,2024
"Brain & Eye Connection Vision Clinic, PC",OK,Healthcare Provider,2207,2024-11-01,Hacking/IT Incident,Network Server,No,,2024
Kaiser Foundation Hospitals,CA,Healthcare Provider,44600,2024-11-01,Hacking/IT Incident,Email,No,,2024
"Potomac Medical Aesthetics, LLC",MD,Healthcare Provider,2876,2024-11-01,Unauthorized Access/Disclosure,Email,No,,2024
Rockford Gastroenterology Associates ,IL,Healthcare Provider,147253,2024-10-30,Hacking/IT Incident,Network Server,No,,2024
Family Medical Center,MD,Healthcare Provider,2100,2024-10-29,Hacking/IT Incident,Network Server,No,,2024
Boatright Inc.,IN,Healthcare Provider,750,2024-10-29,Hacking/IT Incident,Email,No,,2024
BrightStar Care,IL,Healthcare Provider,1187,2024-10-28,Hacking/IT Incident,Email,No,,2024
"The Physical Medicine & Rehabilitation Center, P.A.",NJ,Healthcare Provider,4083,2024-10-28,Hacking/IT Incident,Network Server,No,,2024
"Mystic Valley Elder Services, CE",MA,Business Associate,85133,2024-10-28,Hacking/IT Incident,Network Server,No,,2024
North Texas Medical Specialists ,TX,Healthcare Provider,994,2024-10-28,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility",NY,Healthcare Provider,500,2024-10-25,Hacking/IT Incident,Network Server,No,,2024
Native Village of Eyak Ilanka Community Health Center,AK,Healthcare Provider,512,2024-10-25,Hacking/IT Incident,Network Server,Yes,,2024
"Hawaii Radiologic Associates, Ltd. ",HI,Healthcare Provider,23205,2024-10-25,Hacking/IT Incident,Network Server,No,,2024
St. Anthony Regional Hospital,IA,Healthcare Provider,501,2024-10-25,Hacking/IT Incident,Network Server,No,,2024
Quest Diagnostics Incorporated,NJ,Healthcare Provider,1062,2024-10-25,Unauthorized Access/Disclosure,Network Server,No,,2024
"Southwest Colorado Mental Health Center, Inc. d/b/a Axis Health System",CO,Healthcare Provider,23385,2024-10-25,Hacking/IT Incident,Network Server,No,,2024
Riverview Health,IN,Healthcare Provider,1562,2024-10-25,Hacking/IT Incident,Network Server,No,,2024
"GPS Sango Family Dentistry, PLLC d/b/a Sango Family Dentistry",TN,Healthcare Provider,27000,2024-10-24,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,,2024
Stanislaus County Behavioral Health and Recovery Services,CA,Health Plan,767,2024-10-24,Unauthorized Access/Disclosure,Paper/Films,No,,2024
Gandara Mental Health Center ,MA,Healthcare Provider,20024,2024-10-24,Hacking/IT Incident,Network Server,No,,2024
"Northeast Spine and Sports Medicine, LLC",NJ,Healthcare Provider,6300,2024-10-24,Hacking/IT Incident,Network Server,No,,2024
Mystic Valley Elder Services - Business Associate,MA,Business Associate,2402,2024-10-22,Hacking/IT Incident,Network Server,Yes,,2024
Arkansas Blue Cross and Blue Shield,AR,Health Plan,633,2024-10-22,Hacking/IT Incident,Network Server,Yes,,2024
Smiles in the Pines,NC,Healthcare Provider,1800,2024-10-21,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Email, Other Portable Electronic Device, Paper/Films",No,,2024
Clay Platte Family Medicine,MO,Healthcare Provider,53916,2024-10-18,Hacking/IT Incident,Network Server,No,,2024
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,56000,2024-10-18,Hacking/IT Incident,Network Server,No,,2024
"Survival Flight, Inc.",AZ,Healthcare Provider,12342,2024-10-18,Hacking/IT Incident,Email,No,,2024
Detroit Wayne Integrated Health Network,MI,Healthcare Provider,3347,2024-10-18,Hacking/IT Incident,Laptop,No,,2024
RRCA Accounts Management Inc.,IL,Business Associate,115837,2024-10-18,Hacking/IT Incident,"Desktop Computer, Network Server",Yes,,2024
"Summit Pathology and Summit Pathology Laboratories, Inc.",CO,Healthcare Provider,1813538,2024-10-18,Hacking/IT Incident,Network Server,No,,2024
Chicago Cardiology Institute,IL,Healthcare Provider,2743,2024-10-18,Hacking/IT Incident,Email,No,,2024
"Valleygate Dental Surgery Centers of Charlotte, Fayetteville, and the West, LLC.",NC,Healthcare Provider,14589,2024-10-17,Hacking/IT Incident,Network Server,No,,2024
Jacksonville Children's Multispecialty Clinics/Atlantic Medical Management ,NC,Healthcare Provider,2224,2024-10-17,Unauthorized Access/Disclosure,Email,No,,2024
Sarah Bush Lincoln Fayette County Hospital,IL,Healthcare Provider,4845,2024-10-16,Hacking/IT Incident,Email,No,,2024
Tri County Medical Supply And Respiratory Services Inc.,AR,Healthcare Provider,8000,2024-10-16,Improper Disposal,Paper/Films,No,,2024
OnePoint Patient Care,AZ,Healthcare Provider,795916,2024-10-14,Hacking/IT Incident,Network Server,No,,2024
Center for Urban Community Services,NY,Business Associate,38000,2024-10-11,Hacking/IT Incident,Network Server,Yes,,2024
"Ad Valorem Records, Inc. ",TN,Business Associate,590,2024-10-11,Unauthorized Access/Disclosure,Paper/Films,Yes,,2024
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)",MD,Business Associate,8008,2024-10-11,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,,2024
MiCare Health Center ,MT,Healthcare Provider,2766,2024-10-11,Hacking/IT Incident,Email,No,,2024
"Gryphon Healthcare, LLC",TX,Business Associate,393358,2024-10-11,Hacking/IT Incident,Network Server,Yes,,2024
Tower Clock Eye Center,WI,Healthcare Provider,10737,2024-10-10,Hacking/IT Incident,Email,No,,2024
"Visionworks of America, Inc. ",TX,Healthcare Provider,39825,2024-10-10,Hacking/IT Incident,Email,No,,2024
"Wellfleet Group, LLC",MA,Business Associate,22959,2024-10-08,Unauthorized Access/Disclosure,Network Server,Yes,,2024
"DMEscripts, LLC",IN,Business Associate,9993,2024-10-08,Hacking/IT Incident,Email,Yes,,2024
"TheraCom, L.L.C.",PA,Healthcare Provider,9271,2024-10-08,Hacking/IT Incident,Network Server,No,,2024
Smile Design Management LLC,FL,Healthcare Provider,500,2024-10-07,Hacking/IT Incident,Network Server,No,,2024
Schneider Regional Medical Center,,Healthcare Provider,1570,2024-10-07,Hacking/IT Incident,Network Server,No,,2024
"Dohman, Akerlund & Eddy",NE,Business Associate,9941,2024-10-07,Hacking/IT Incident,Network Server,Yes,,2024
University of Minnesota Board of Regents,MN,Healthcare Provider,1331,2024-10-07,Hacking/IT Incident,Email,No,,2024
"Ciox Health LLC, d/b/a Datavant Group",AZ,Business Associate,501,2024-10-07,Hacking/IT Incident,Email,Yes,,2024
"ATSG, Inc",NY,Business Associate,909469,2024-10-04,Hacking/IT Incident,Network Server,Yes,,2024
"General Physician, P.C.",NY,Healthcare Provider,501,2024-10-04,Hacking/IT Incident,Email,No,,2024
Bayhealth Medical Center,DE,Healthcare Provider,500,2024-10-04,Hacking/IT Incident,Network Server,No,,2024
"Easter Seals DC | MD | VA, Inc.",MD,Healthcare Provider,584,2024-10-04,Hacking/IT Incident,Email,No,,2024
Omni Family Health,CA,Healthcare Provider,468344,2024-10-04,Hacking/IT Incident,Network Server,No,,2024
"Dr. Daniel J. Leeman, M.D.",TX,Healthcare Provider,50000,2024-10-04,Hacking/IT Incident,Network Server,No,,2024
"Long Island Plastic Surgical Group, P.C.",NY,Healthcare Provider,161707,2024-10-04,Hacking/IT Incident,Network Server,No,,2024
"Seven Counties Services, Inc.",KY,Healthcare Provider,501,2024-10-04,Hacking/IT Incident,Email,No,,2024
Judge Rotenberg Educational Center,MA,Healthcare Provider,2579,2024-10-03,Hacking/IT Incident,Network Server,No,,2024
Walgreen Co.,IL,Healthcare Provider,1915,2024-10-01,Unauthorized Access/Disclosure,Laptop,No,,2024
Connally Memorial Medical Center ,TX,Health Plan,1228,2024-09-30,Hacking/IT Incident,Email,No,,2024
Hafetz and Associates ,NJ,Business Associate,26474,2024-09-27,Hacking/IT Incident,Email,Yes,,2024
 CF Medical,GA,Business Associate,242200,2024-09-26,Hacking/IT Incident,Network Server,Yes,,2024
"Texas Spine Consultants, PLLC ",TX,Healthcare Provider,8048,2024-09-26,Hacking/IT Incident,Email,No,,2024
"Community Clinic of Maui, Inc. dba Malama I Ke Ola Health Center",HI,Healthcare Provider,123816,2024-09-26,Hacking/IT Incident,Network Server,No,,2024
University of Michigan/Michigan Medicine,MI,Healthcare Provider,57891,2024-09-26,Hacking/IT Incident,Email,No,,2024
Prentke Romich Company dba PRC-Saltillo,OH,Healthcare Provider,51627,2024-09-25,Hacking/IT Incident,Network Server,No,,2024
Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth,FL,Healthcare Provider,6567,2024-09-24,Hacking/IT Incident,Network Server,No,,2024
UT Southwestern Medical Center,TX,Healthcare Provider,778,2024-09-24,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
"Asheville Arthritis and Osteoporosis Center, P.A.",NC,Healthcare Provider,58251,2024-09-20,Hacking/IT Incident,Network Server,No,,2024
Muskogee City County Enhanced 911 Trust Authority,OK,Business Associate,180000,2024-09-20,Hacking/IT Incident,Network Server,Yes,,2024
"Jacobsen Construction Co., Inc. Health Plan",UT,Health Plan,2127,2024-09-20,Hacking/IT Incident,Network Server,No,,2024
Jefferson PA Heart and Vascular,PA,Healthcare Provider,755,2024-09-18,Unauthorized Access/Disclosure,Paper/Films,No,,2024
"Southern Bone & Joint Specialists, PA (“Southern Bone”)",MS,Healthcare Provider,7162,2024-09-17,Hacking/IT Incident,Email,No,,2024
Rim Country Health and Rehabilitation ,AZ,Healthcare Provider,721,2024-09-16,Hacking/IT Incident,Email,No,,2024
"ERLC LLC, d/b/a Elitecare Emergency Hospital",TX,Healthcare Provider,24754,2024-09-16,Hacking/IT Incident,Network Server,No,,2024
Michigan Masonic Home,MI,Healthcare Provider,500,2024-09-16,Hacking/IT Incident,Email,No,,2024
JTaylor & Associates LLC ,TX,Business Associate,22315,2024-09-16,Hacking/IT Incident,Email,Yes,,2024
Maryville Academy,IL,Healthcare Provider,500,2024-09-13,Hacking/IT Incident,Network Server,No,,2024
Atrium Health,NC,Healthcare Provider,32120,2024-09-13,Hacking/IT Incident,Email,No,,2024
Young Consulting LLC,GA,Business Associate,954177,2024-09-11,Hacking/IT Incident,Network Server,Yes,,2024
Local 1964 ILA Health & Insurance Fund,NJ,Health Plan,2059,2024-09-10,Hacking/IT Incident,Network Server,No,,2024
"Richland County, WI",WI,Healthcare Provider,76365,2024-09-09,Hacking/IT Incident,Network Server,No,,2024
Millinocket Regional Hospital,ME,Healthcare Provider,813,2024-09-09,Hacking/IT Incident,Network Server,No,,2024
"Nationwide Recovery Services, Inc.",GA,Business Associate,501,2024-09-09,Hacking/IT Incident,Network Server,Yes,,2024
oficina medica,,Healthcare Provider,2618,2024-09-08,Theft,"Desktop Computer, Other Portable Electronic Device",No,,2024
Welcome Health,CA,Healthcare Provider,597,2024-09-06,Hacking/IT Incident,Email,No,,2024
Centers for Medicare & Medicaid Services,MD,Health Plan,3112815,2024-09-06,Hacking/IT Incident,Network Server,Yes,,2024
Seneca Nation Health System,NY,Healthcare Provider,7633,2024-09-06,Hacking/IT Incident,Network Server,No,,2024
Guam Seventh-Day Adventist Clinic ,,Healthcare Provider,56635,2024-09-06,Hacking/IT Incident,Email,No,,2024
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,2334,2024-09-05,Hacking/IT Incident,Network Server,No,,2024
Project Hospitality,NY,Healthcare Provider,1864,2024-09-04,Hacking/IT Incident,Network Server,No,,2024
Premier Health Family Care – North and Premier Health Family Care of Vandalia,OH,Healthcare Provider,3092,2024-09-03,Unauthorized Access/Disclosure,Paper/Films,No,,2024
"United Way of Connecticut, Inc.",CT,Business Associate,8039,2024-09-03,Hacking/IT Incident,Email,Yes,,2024
"Service Access & Management, Inc.",PA,Healthcare Provider,501,2024-09-02,Hacking/IT Incident,Network Server,No,,2024
Washoe County School District,NV,Health Plan,1017,2024-08-30,Unauthorized Access/Disclosure,Network Server,Yes,,2024
"EngageMED, Inc ",AR,Business Associate,500,2024-08-30,Hacking/IT Incident,Network Server,Yes,,2024
Baptist Health Medical Center Drew County,AR,Healthcare Provider,5207,2024-08-30,Hacking/IT Incident,Network Server,No,,2024
Catholic Charities CYO of The Archdiocese of San Francisco,CA,Healthcare Provider,7168,2024-08-30,Hacking/IT Incident,Network Server,No,,2024
Minnesota Department of Human Services,MN,Healthcare Provider,4329,2024-08-30,Hacking/IT Incident,Email,No,,2024
"Illinois Bone & Joint Institute, LLC",IL,Healthcare Provider,182670,2024-08-30,Hacking/IT Incident,Network Server,No,,2024
Mount Carmel Behavioral Health ,OH,Healthcare Provider,500,2024-08-30,Hacking/IT Incident,Email,No,,2024
Goodwin Living Incorporated ,VA,Healthcare Provider,7170,2024-08-29,Hacking/IT Incident,Email,No,,2024
"CBIZ Benefits & Insurance Services, Inc.",OH,Business Associate,9103,2024-08-28,Hacking/IT Incident,Network Server,Yes,,2024
Panoramic Health,AZ,Business Associate,6228,2024-08-28,Hacking/IT Incident,Email,Yes,,2024
Blue Cross and Blue Shield of North Carolina,NC,Business Associate,972,2024-08-27,Hacking/IT Incident,Network Server,Yes,,2024
Roper St. Francis Healthcare,SC,Healthcare Provider,4125,2024-08-26,Unauthorized Access/Disclosure,Paper/Films,No,,2024
Okanogan Behavioral HealthCare,WA,Healthcare Provider,1082,2024-08-23,Hacking/IT Incident,Network Server,No,,2024
Florida Department of Health ,FL,Healthcare Provider,729699,2024-08-23,Hacking/IT Incident,Network Server,No,,2024
Pomona Community Health Center dba ParkTree Community Health Center,CA,Healthcare Provider,40964,2024-08-21,Hacking/IT Incident,Network Server,No,,2024
"VeriSource Services, Inc.",TX,Business Associate,112726,2024-08-20,Hacking/IT Incident,Network Server,Yes,,2024
"Acadian Ambulance Service, Inc. ",LA,Healthcare Provider,2896985,2024-08-20,Hacking/IT Incident,Network Server,No,,2024
"Contents Trader, Inc.",TX,Healthcare Provider,27329,2024-08-20,Unauthorized Access/Disclosure,Network Server,No,,2024
"Advanced Medical Management, LLC",KS,Healthcare Provider,2815,2024-08-19,Hacking/IT Incident,Email,No,,2024
"Connecticut GI, PLLC",CT,Healthcare Provider,46354,2024-08-19,Hacking/IT Incident,Network Server,No,,2024
Mid-Columbia Center for Living,OR,Healthcare Provider,4435,2024-08-19,Hacking/IT Incident,Email,No,,2024
"HAH Group Holding Company, LLC d/b/a “Help At Home""",IL,Healthcare Provider,26744,2024-08-18,Hacking/IT Incident,Network Server,Yes,,2024
"Kerber, Eck & Braeckel LLP",IL,Business Associate,134918,2024-08-16,Hacking/IT Incident,Network Server,Yes,,2024
Vasinda's Around the Clock Care Inc. DBA ATC Home Care ,CA,Healthcare Provider,3785,2024-08-16,Hacking/IT Incident,Network Server,No,,2024
Behavioral Health Alliance of Rural Pennsylvania ,PA,Health Plan,642,2024-08-16,Hacking/IT Incident,Email,No,,2024
"Specialty Networks, Inc. ",TN,Business Associate,411037,2024-08-15,Hacking/IT Incident,Network Server,Yes,,2024
Carespring Health Care Management LLC,OH,Healthcare Provider,64609,2024-08-15,Hacking/IT Incident,Network Server,No,,2024
Fairfield Memorial Hospital Association,IL,Healthcare Provider,25093,2024-08-15,Hacking/IT Incident,Network Server,No,,2024
United Urology Group,MD,Business Associate,10704,2024-08-14,Hacking/IT Incident,Network Server,Yes,,2024
University of Connecticut Health Center Finance Corporation (“UConn Health”),CT,Healthcare Provider,500,2024-08-13,Hacking/IT Incident,Email,No,,2024
Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry,IN,Healthcare Provider,5500,2024-08-12,Hacking/IT Incident,Network Server,No,,2024
siParadigm LLC,NJ,Healthcare Provider,501,2024-08-09,Hacking/IT Incident,Network Server,No,,2024
"Turning Point of Central California, Inc.",CA,Healthcare Provider,500,2024-08-09,Hacking/IT Incident,Network Server,No,,2024
Monte Nido,FL,Healthcare Provider,41662,2024-08-09,Hacking/IT Incident,Network Server,No,,2024
"HealthEquity, Inc.",UT,Business Associate,4300000,2024-08-09,Hacking/IT Incident,Network Server,Yes,,2024
"Gramercy Surgery Center, Inc.",NY,Healthcare Provider,50554,2024-08-09,Hacking/IT Incident,Network Server,No,,2024
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists",MN,Healthcare Provider,38442,2024-08-09,Hacking/IT Incident,Email,No,,2024
"The Facial Pain Center, PLLC dba The Facial Pain Center",MN,Healthcare Provider,1894,2024-08-09,Hacking/IT Incident,Email,No,,2024
"PDG, P.A. dba Park Dental",MN,Healthcare Provider,238667,2024-08-09,Hacking/IT Incident,Email,No,,2024
Pemiscot Memorial Health System,MO,Healthcare Provider,33279,2024-08-09,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
PG Dental d/b/a Aire Dental Arts,NY,Healthcare Provider,10200,2024-08-09,Hacking/IT Incident,Network Server,No,,2024
Harborview Oral & Facial Surgery Center,MS,Healthcare Provider,3472,2024-08-08,Hacking/IT Incident,Network Server,Yes,,2024
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates",RI,Healthcare Provider,31835,2024-08-07,Hacking/IT Incident,Network Server,No,,2024
" Pocahontas Medical Clinic, PA",AR,Healthcare Provider,31216,2024-08-06,Hacking/IT Incident,Network Server,No,,2024
Hamilton-Madison House,NY,Healthcare Provider,1114,2024-08-02,Hacking/IT Incident,Network Server,No,,2024
"Calibrated Healthcare, LLC",CA,Business Associate,6890,2024-08-02,Hacking/IT Incident,Network Server,Yes,,2024
Alabama Cardiovascular Group,AL,Healthcare Provider,280534,2024-08-02,Hacking/IT Incident,Network Server,No,,2024
Wayne Memorial Hospital,GA,Healthcare Provider,2500,2024-08-02,Hacking/IT Incident,Network Server,No,,2024
"PRM Management Company, Inc.",FL,Healthcare Provider,500,2024-08-02,Hacking/IT Incident,Email,No,,2024
Fraser Child and Family Center ,MN,Healthcare Provider,64131,2024-08-02,Hacking/IT Incident,Network Server,No,,2024
Roseland Community Hospital Association,IL,Healthcare Provider,500,2024-08-01,Hacking/IT Incident,Network Server,No,,2024
Frilot L.L.C.,LA,Business Associate,501,2024-08-01,Hacking/IT Incident,Network Server,Yes,,2024
Providence Pediatrics Manito ,WA,Healthcare Provider,1166,2024-08-01,Unauthorized Access/Disclosure,Paper/Films,Yes,,2024
Deer Oaks Behavioral Health ,TX,Healthcare Provider,171871,2024-07-31,Hacking/IT Incident,Network Server,No,,2024
"Special Health Resources of Texas, Inc.",TX,Healthcare Provider,500,2024-07-30,Hacking/IT Incident,Network Server,No,,2024
Delta County Memorial Hospital District (Delta Health),CO,Healthcare Provider,501,2024-07-29,Hacking/IT Incident,Network Server,No,,2024
"Advantage Orthopedic & Sports Medicine, LLP",OR,Healthcare Provider,1937,2024-07-29,Hacking/IT Incident,Network Server,No,,2024
United of Omaha Life Insurance Company,NE,Health Plan,107894,2024-07-26,Hacking/IT Incident,Email,No,,2024
University of Alabama at Birmingham School of Nursing,AL,Healthcare Provider,1655,2024-07-26,Unauthorized Access/Disclosure,Paper/Films,No,,2024
"South Western Communications, Inc.",IN,Health Plan,1115,2024-07-26,Hacking/IT Incident,Network Server,No,,2024
NeighborHealth,MA,Healthcare Provider,526,2024-07-26,Unauthorized Access/Disclosure,Paper/Films,No,,2024
Surgery Center of Mid Florida,FL,Healthcare Provider,48684,2024-07-24,Hacking/IT Incident,Network Server,No,,2024
"AMERICAN CLINICAL SOLUTIONS, LLC",FL,Healthcare Provider,300000,2024-07-24,Hacking/IT Incident,Network Server,No,,2024
Sutton Dental Arts,OR,Healthcare Provider,4109,2024-07-22,Hacking/IT Incident,Network Server,No,,2024
Allcare Medical Management Incorporated,CA,Business Associate,16378,2024-07-22,Hacking/IT Incident,Email,Yes,,2024
"EMS Department for the Kansas City, Kansas Fire Department   ",KS,Healthcare Provider,501,2024-07-20,Hacking/IT Incident,Network Server,No,,2024
Barrett Eye Care,IN,Healthcare Provider,4318,2024-07-19,Hacking/IT Incident,Network Server,No,,2024
Arisa Health Incorporated,AR,Healthcare Provider,375436,2024-07-19,Hacking/IT Incident,Network Server,No,,2024
"Sun City Pediatrics, PA",TX,Healthcare Provider,4500,2024-07-19,Hacking/IT Incident,Network Server,No,,2024
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,2024-07-19,Hacking/IT Incident,Network Server,No,,2024
"Franklin County, Kansas",KS,Healthcare Provider,501,2024-07-19,Hacking/IT Incident,Network Server,No,,2024
University of Michigan/Michigan Medicine,MI,Healthcare Provider,56953,2024-07-19,Hacking/IT Incident,Email,No,,2024
